Title,Views,Duration,Duration_seconds,Video_Type
5 Essential Python Libraries for Data Analysis (Learn These) 🔥,10000.0,8:07,487,Mini Video
What Do Software Engineers Actually Do? (It’s Not What You Think),81000.0,8:07,487,Mini Video
How I would learn to code (If I could start over),145000.0,13:07,787,Mini Video
Ultimate WordPress Tutorial 2025: Build Your Site in Just 40 Minutes! 🔥,59000.0,13:07,787,Mini Video
My Last Video | Sigma Web Development Course - Tutorial #139,354000.0,13:14,794,Mini Video
Deploying our Next.js App to Vercel | Sigma Web Development Course - Tutorial #138,17000.0,13:14,794,Mini Video
How to Scrape the Web Effectively and Efficiently | Ultimate Web Scraping Tutorial 🔥,32000.0,41:31,2491,Long Video
[Project] Let's Build a LinkTree Clone in Next.js 15 | Sigma Web Development Course - Tutorial #137,22000.0,41:31,2491,Long Video
[Project] Let's Build a Url Shortener in Next.js 15 | Sigma Web Development Course - Tutorial #136,23000.0,8:27,507,Mini Video
Add AI to your Existing Applications using this AI Tool 🔥,27000.0,8:27,507,Mini Video
Styled JSX and other ways to Style in Next.js | Sigma Web Development Course - Tutorial #135,16000.0,18:58,1138,Long Video
The Best Network monitoring and device blocking app for PC and mobile | Trying the Fing Wifi app 🔥,30000.0,18:58,1138,Long Video
Environment Variables in Next.js | Sigma Web Development Course - Tutorial #134,11000.0,41:31,2491,Long Video
This AI Image API is amazing!,24000.0,41:31,2491,Long Video
"SSR, SSG & ISR in Next.js | Sigma Web Development Course - Tutorial #133",14000.0,1:53:49,6829,Very Long Video
Is AI & ML Worth the Hype?,102000.0,1:53:49,6829,Very Long Video
Understanding next/navigation module in Next.js | Sigma Web Development Course - Tutorial #132,11000.0,56:16,3376,Long Video
Strapi 5 Crash Course for Beginners 🔥,20000.0,56:16,3376,Long Video
How to Scrape Amazon Using AI (with least manual coding) 🔥,17000.0,20:56,1256,Long Video
Host & Test Free Llama Models on your own Server + Kusho AI for Gen AI Testing,16000.0,20:56,1256,Long Video
I Built an AI Agent to Help me Get a Job 🔥,27000.0,8:34,514,Mini Video
How to Build a Website in 10 Minutes Using WordPress & AI (No Coding Required)🔥,63000.0,8:34,514,Mini Video
Should You Learn Multiple Programming Languages? (The Truth),121000.0,16:56,1016,Long Video
Best Data Analyst Learning Resources in 2024-25,121000.0,16:56,1016,Long Video
HTML Tutorial for Beginners in Hindi | Complete HTML Course with AI + Notes + 5 Project Bundle 🔥,431000.0,11:15,675,Mini Video
Instagram Comments & Posts Automation using Make 🔥,19000.0,11:15,675,Mini Video
I Created SEO Friendly Blogs using AI (Experiment),47000.0,28:10,1690,Long Video
Complete CyberSecurity Roadmap 2024 (Beginner's Guide),177000.0,28:10,1690,Long Video
How I Created AI Agents That Do My Work For Me 🔥,62000.0,14:18,858,Mini Video
"Lets build a Markdown blog using Next.js, Shadcn, Tailwind, Pieces, Remark & Rehype 🔥",57000.0,14:18,858,Mini Video
Fastest Way to Build an E-Commerce Website (For now) 🔥,57000.0,11:14,674,Mini Video
What is low-code? | Let's build a low-code app with Zoho Creator,,11:14,674,Mini Video
Why Offline College Won't Teach You Everything – And What You Can Do About It?,93000.0,12:50,770,Mini Video
What is an Anti Detection Browser | Anti Detection browser demo using Gologin Browser  🔥,51000.0,12:50,770,Mini Video
Which Technology to use for Game Development?,34000.0,1:15:22,4522,Very Long Video
Python vs JavaScript | What to Choose? | ft. Toolify.ai,249000.0,1:15:22,4522,Very Long Video
Generative AI Roadmap For Absolute Beginners 🔥,232000.0,12:31,751,Mini Video
How to build a Website using Wordpress & AI in 5 Minutes?,117000.0,12:31,751,Mini Video
"How much HTML, CSS and JavaScript is Enough to get a Job 🔥",368000.0,15:44,944,Long Video
AI Coding Buddy: AI Assistance Like a Friend Beside You | Pieces for Developers,66000.0,15:44,944,Long Video
Which Operating System I use and Why 💻,214000.0,22:54,1374,Long Video
How to Build an E-Commerce Website in 15 Minutes | eCommerce Hosting by Elementor 🔥,51000.0,22:54,1374,Long Video
Can AI Create Video Ads? - Let's Find out! | URL to Ads using @joggai,68000.0,11:32,692,Mini Video
"Generate human-like, plagiarism-free, and undetectable writing with HIX Bypass!",82000.0,11:32,692,Mini Video
How to become a Data Analyst? | Complete Roadmap for Data Analyst🔥,530000.0,8:29,509,Mini Video
C Language Tutorial for Beginners (With Notes + Surprise) 🔥,,8:29,509,Mini Video
Write Undetectable AI & Plagiarism-Free Essays Online with the Best AI Essay Writing Copilot 🔥,36000.0,10:17,617,Mini Video
Project Management Roadmap for Beginners | Project Management Learning Path For 2024 🔥,135000.0,10:17,617,Mini Video
Selenium Tutorial for Beginners using Python | Selenium for Web Scraping (With Project),99000.0,2:39:30,9570,Very Long Video
MalCare: WordPress Security for High Performance Websites,17000.0,2:39:30,9570,Very Long Video
Create Undetectable AI Content Online with this tool 🔥,46000.0,16:47,1007,Long Video
Python Tutorial For Beginners in Hindi | Complete Python Course 🔥,,16:47,1007,Long Video
Let's Build an E-Commerce Website using WordPress | ShopPress E-Commerce Tutorial 🔥,58000.0,19:28,1168,Long Video
"Docker in 2024 | Docker Scout, Docker Build Cloud, Docker Debug & many more new features 🔥",55000.0,19:28,1168,Long Video
How to make an E-commerce Website in 10 Minutes (Grocery Online Store) | WordPress Ecommerce Website,107000.0,15:04,904,Long Video
This is How Hackers Crack Passwords! (Don't Try),,15:04,904,Long Video
Train Your Own Custom AI Chatbot on Custom Data - CustomGPT Tutorial 🔥,49000.0,21:40,1300,Long Video
A Mystery box from a Tech Brand | BenQ RD240Q Review🔥,35000.0,21:40,1300,Long Video
AI & ML Roadmap - Complete Roadmap for Machine Learning + PDF Download📜,447000.0,2:29:50,8990,Very Long Video
Summarize Videos and Articles using AI like a PRO!!,31000.0,2:29:50,8990,Very Long Video
Job Advice from an Oracle Hiring Manager (Silicon Valley),158000.0,22:58,1378,Long Video
"Microsoft Girl in the US talks about AI, DSA and life in the US 🔥",230000.0,22:58,1378,Long Video
"Jensen Huang on AI, work-life balance, success, and more 🔥",106000.0,24:30,1470,Long Video
Future of AI ft. Indian Developer in USA @SinghInUSA,141000.0,24:30,1470,Long Video
The  Ultimate Python Programming Roadmap (Before you Start)🐍,720000.0,9:22,562,Mini Video
Tutorial: Create a WordPress eCommerce Website for Beginners 🔥,171000.0,9:22,562,Mini Video
What is Data Science? Complete Roadmap to Become a Data Scientist (Get Hired),662000.0,10:46,646,Mini Video
Project GetMeAChai - Patreon Clone in Next.js | Sigma Web Development Course - Tutorial #131,197000.0,10:46,646,Mini Video
Devin Was a Lie! - The Big Expose (AI Scam) 😡,327000.0,6:50,410,Mini Video
Build WooCommerce store & integrate email marketing to boost sales +40%,11000.0,6:50,410,Mini Video
Building Peer-to-Peer Applications using Pears!,21000.0,9:23,563,Mini Video
5 Things I am doing to Beat AI (Copy These!) 💥,249000.0,9:23,563,Mini Video
Speed up your WordPress Website in 1 Click! (5X Faster),23000.0,15:13,913,Long Video
How to Make a Professional Website using AI in 10 Minutes!,128000.0,15:13,913,Long Video
"Profitable Web Developer RoadMap - Step by Step | Freelancing, Jobs & AI in Web Development 🔥",831000.0,10:13,613,Mini Video
Let's build an Amazon price tracker using React & Python 🔥,46000.0,10:13,613,Mini Video
GitHub Copilot - FREE Forever!! (Legal Way),171000.0,14:32,872,Mini Video
5 Things I Wish I Knew When I Started Programming (Honest Truth),147000.0,14:32,872,Mini Video
Run your own AI (but private),98000.0,15:30,930,Long Video
AI Killed Web Development - The Reality (Honest Truth) 😢,405000.0,15:30,930,Long Video
💥Windows vs Linux vs Mac - End of Debate (Eye-Opening) 💥,195000.0,14:57,897,Mini Video
Devin is here - This is the end ☠️,559000.0,14:57,897,Mini Video
➡️ You Must Try This IDE! 🤯,34000.0,16:37,997,Long Video
"React Project: Password Manager using React, Tailwind, MongoDB & Express | Sigma WebD Tutorial #130",167000.0,16:37,997,Long Video
🎮 How to Become a Game Developer | Complete Roadmap for Game Development 🎮,589000.0,21:30,1290,Long Video
Use WordPress & WooCommerce in 2024 AI Era - Here's Why! (Eye Opening),242000.0,21:30,1290,Long Video
Best Framework for Web Development - The Bitter Truth 😒,126000.0,13:03,783,Mini Video
Layouts in Next.js | Sigma Web Development Course - Tutorial #129,50000.0,13:03,783,Mini Video
Dynamic Routes in Next.js | Sigma Web Development Course - Tutorial #128,32000.0,15:20,920,Long Video
Auth.js - Authentication in Next.js | Sigma Web Development Course - Tutorial #127,39000.0,15:20,920,Long Video
Middleware in Next.js | Sigma Web Development Course - Tutorial #126,25000.0,10:03:19,36199,Very Long Video
DSA & ₹1.2 Crore Per Annum Jobs - The Truth? (No Offence),713000.0,10:03:19,36199,Very Long Video
Server Actions in Next.js | Sigma Web Development Course - Tutorial #125,30000.0,9:00,540,Mini Video
Creating APIs in Next.js | Sigma Web Development Course - Tutorial #124,29000.0,9:00,540,Mini Video
How To Get Rich & Financially Independent (Works in 2024),746000.0,16:37,997,Long Video
"Script, Link & Image components in Next.js | Sigma Web Development Course - Tutorial #123",32000.0,16:37,997,Long Video
Server Components in Next.js | Sigma Web Development Course - Tutorial #122,29000.0,36:55,2215,Long Video
Introduction to Next.js & File based routing | Sigma Web Development Course - Tutorial #121,51000.0,36:55,2215,Long Video
Learn Redux in One video | Sigma Web Development Course - Tutorial #120,85000.0,11:53,713,Mini Video
Handling Forms + Connecting React to Express Backend | Sigma Web Development Course - Tutorial #119,53000.0,11:53,713,Mini Video
The useCallback hook in React | Sigma Web Development Course - Tutorial #118,51000.0,8:23,503,Mini Video
The useMemo hook in React | Sigma Web Development Course - Tutorial #117,47000.0,8:23,503,Mini Video
The useContext hook in React | Sigma Web Development Course - Tutorial #116,67000.0,10:53:55,39235,Very Long Video
One Effective Trick to Learn Coding Fast (Works in 2024),355000.0,10:53:55,39235,Very Long Video
React Router: Routing in React | Sigma Web Development Course - Tutorial #115,124000.0,36:23,2183,Long Video
"TodoList App using React, Tailwind & React Icons | Sigma Web Development Course - Tutorial #114",112000.0,36:23,2183,Long Video
Logic Building in Programming - 5 Proven Strategies (2024) 🔥,467000.0,28:45,1725,Long Video
How Hackers Hack using Gmail (Innovative) 🔥,93000.0,28:45,1725,Long Video
Exercise 18 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #113,41000.0,9:59,599,Mini Video
Handling Events in React | Sigma Web Development Course - Tutorial #112,52000.0,9:59,599,Mini Video
Exercise 18 - Display the Cards | Sigma Web Development Course - Tutorial #111,40000.0,8:27,507,Mini Video
Conditional Rendering  & Rendering Lists in React | Sigma Web Development Course - Tutorial #110,59000.0,8:27,507,Mini Video
"Let’s Build a Tech Blog using HTML, Tailwind CSS, React, and Appwrite Cloud as a backend 🔥",45000.0,14:51,891,Mini Video
🔥 Top Programming Languages for 2024 Jobs! 💻🚀,202000.0,14:51,891,Mini Video
The useRef Hook in React | Sigma Web Development Course - Tutorial #109,85000.0,10:15,615,Mini Video
The useEffect Hook in React | Sigma Web Development Course - Tutorial #108,98000.0,10:15,615,Mini Video
Hooks & State in React | Sigma Web Development Course - Tutorial #107,71000.0,8:40,520,Mini Video
"Components, Props and JSX in React | Sigma Web Development Course - Tutorial #106",96000.0,8:40,520,Mini Video
Introduction to React & Why use React? | Sigma Web Development Course - Tutorial #105,132000.0,12:21,741,Mini Video
How to Start Coding in 2024? Learn Programming in 2024 for Beginners 🔥,,12:21,741,Mini Video
Hosting an Express App on Ubuntu VPS using Hostinger | Sigma Web Development Course - Tutorial #104,37000.0,18:12,1092,Long Video
What is Hosting? Where to Host? Which Hosting? | Sigma Web Development Course - Tutorial #103,55000.0,18:12,1092,Long Video
Exercise 17 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #102,24000.0,21:41,1301,Long Video
How to quickly build a website with Elementor Hosting and AI 🔥,25000.0,21:41,1301,Long Video
"SyncFusion: A UI Component Suite for Building Powerful Web, Desktop, and Mobile Apps",14000.0,10:42,642,Mini Video
X.com (Twitter) Clone using Tailwind CSS | Sigma Web Development Course - Tutorial #101,146000.0,10:42,642,Mini Video
Exercise 17 - Design This Layout | Sigma Web Development Course - Tutorial #100,35000.0,7:56,476,Mini Video
Creating Cost Calculator in Wordpress | Cost Calculator Plugin for WordPress 🔥,7700.0,7:56,476,Mini Video
Lets build a Portfolio Website using Hostinger AI Builder 🔥,26000.0,11:39,699,Mini Video
Exercise 16 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #99,32000.0,11:39,699,Mini Video
Tailwind CSS in one Video | Sigma Web Development Course - Tutorial #98,145000.0,3:07:17,11237,Very Long Video
Exercise 16 - Dummy Data Generator | Sigma Web Development Course - Tutorial #97,28000.0,3:07:17,11237,Very Long Video
Installing Mongoose & Using it with Express | Sigma Web Development Course - Tutorial #96,59000.0,23:51,1431,Long Video
CRUD Operations in MongoDB | Sigma Web Development Course - Tutorial #95,58000.0,23:51,1431,Long Video
Installing MongoDB & MongoDB Compass | Sigma Web Development Course - Tutorial #94,121000.0,4:49:02,17342,Very Long Video
Exercise 15 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #93,36000.0,4:49:02,17342,Very Long Video
ejs Template Engine in Express | Sigma Web Development Course - Tutorial #92,64000.0,9:53,593,Mini Video
Exercise 15 - Clear the Clutter | Sigma Web Development Course - Tutorial #91,36000.0,9:53,593,Mini Video
This Chrome Extension will BLOW YOUR MIND 🤯| Be Fearless online 🔥,183000.0,10:27,627,Mini Video
Middlewares in Express Js | Sigma Web Development Course - Tutorial #90,66000.0,10:27,627,Mini Video
"Response, Request and Routers in Express | Sigma Web Development Course - Tutorial #89",76000.0,11:56,716,Mini Video
Introduction to Express Js | Sigma Web Development Course - Tutorial #88,94000.0,11:56,716,Mini Video
"🤑₹3,30,000 New Year Gift for Myself -  Lifestyle Upgrade! 😍",243000.0,6:00,360,Mini Video
Working with Files: fs and path Modules | Sigma Web Development Course - Tutorial #87,68000.0,6:00,360,Mini Video
CommonJs Vs EcmaScript Modules | Sigma Web Development Course - Tutorial #86,95000.0,5:38,338,Mini Video
Exploring MyKode Framework for rapid development of Single Page Applications,9100.0,5:38,338,Mini Video
"Backend, Node.js & npm | Sigma Web Development Course - Tutorial #85",173000.0,19:28,1168,Long Video
"Spotify Clone using HTML, CSS & JavaScript | Sigma Web Development Course - Tutorial #84",611000.0,19:28,1168,Long Video
JavaScript Interview Questions | Sigma Web Development Course - Tutorial #83,88000.0,13:53,833,Mini Video
How to host a Front End react app on a Linux Server (Beginner Tutorial) 🔥,14000.0,13:53,833,Mini Video
Create your own VPN using Pritunl on Linux VPS 🔥,20000.0,1:08:13,4093,Very Long Video
Advanced JavaScript | Sigma Web Development Course - Tutorial #82,80000.0,1:08:13,4093,Very Long Video
JavaScript Exercise 14 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #81,59000.0,5:00,300,Mini Video
Classes & Objects - Object Oriented Programming in Js | Sigma Web Development Course - Tutorial #80,80000.0,5:00,300,Mini Video
Julius AI: An Amazing Conversational AI for Data Science with File Upload🔥,25000.0,9:07,547,Mini Video
Code 10x Faster with Pieces for Developers Developer Productivity Platform (It's Game Changing) 🔥,63000.0,9:07,547,Mini Video
JavaScript try catch & Error Handling | Sigma Web Development Course - Tutorial #79,73000.0,3:51,231,Mini Video
JavaScript Exercise 14 - Hacker's Terminal | Sigma Web Development Course - Tutorial #78,60000.0,3:51,231,Mini Video
OneEntry CMS Tutorial: Management system for apps and websites🔥,10000.0,21:48,1308,Long Video
JavaScript Exercise 13 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #77,77000.0,21:48,1308,Long Video
Machine Learning & Artificial Intelligence tools from AWS you must know,18000.0,10:49,649,Mini Video
Async/Await & Fetch API in JavaScript with Examples | Sigma Web Development Course - Tutorial #76,136000.0,10:49,649,Mini Video
Website Using Pure Python: Lets build a Stock Simulator Using Taipy 🔥,31000.0,11:56,716,Mini Video
JavaScript Callbacks & Promises | Sigma Web Development Course - Tutorial #75,160000.0,11:56,716,Mini Video
"Events, Event Bubbling, setInterval & setTimeout | Sigma Web Development Course - Tutorial #74",135000.0,9:44,584,Mini Video
JavaScript Exercise 13 - Dynamic Website Builder | Sigma Web Development Course - Tutorial #73,92000.0,9:44,584,Mini Video
JavaScript Exercise 12 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #72,80000.0,2:28:15,8895,Very Long Video
Inserting and Removing Elements using JavaScript | Sigma Web Development Course - Tutorial #71,140000.0,2:28:15,8895,Very Long Video
Earn by Building Apps with this Low Code Tool | FlutterFlow Tutorial 🔥,360000.0,9:48,588,Mini Video
JavaScript Exercise 12 - Color the Boxes | Sigma Web Development Course - Tutorial #70,81000.0,9:48,588,Mini Video
Acorn: A Platform to Develop and Run Your Apps on the Cloud 🔥,10000.0,10:06,606,Mini Video
JavaScript Exercise 11 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #69,84000.0,10:06,606,Mini Video
"JavaScript -  Selecting by Ids, Classes, and More | Sigma Web Development Course - Tutorial #68",124000.0,11:25,685,Mini Video
"JavaScript DOM - Children, Parent & Sibling Nodes | Sigma Web Development Course - Tutorial #67",141000.0,11:25,685,Mini Video
Document Object Model in JavaScript | Sigma Web Development Course - Tutorial #66,141000.0,12:34,754,Mini Video
How to build a WordPress website with Elementor in 15 Minutes 🔥,97000.0,12:34,754,Mini Video
All About Machine Learning & Deep Learning in 2024 🔥,638000.0,9:51,591,Mini Video
JavaScript Exercise 11 - Calculate the Factorial | Sigma Web Development Course - Tutorial #65,84000.0,9:51,591,Mini Video
5 Health Tips for All Programmers | How to Stay Healthy as a Programmer ft @TheSleepCompany Ultron,133000.0,14:04,844,Mini Video
JavaScript Exercise 10 - Solution | Sigma Web Development Course - Tutorial #64,102000.0,14:04,844,Mini Video
,,10:18,618,Mini Video
,,10:18,618,Mini Video
,,12:22,742,Mini Video
,,12:22,742,Mini Video
,,13:16,796,Mini Video
,,13:16,796,Mini Video
,,7:48,468,Mini Video
,,7:48,468,Mini Video
,,15:49,949,Long Video
,,15:49,949,Long Video
,,20:37,1237,Long Video
,,20:37,1237,Long Video
,,11:12,672,Mini Video
,,11:12,672,Mini Video
,,12:25,745,Mini Video
,,12:25,745,Mini Video
,,19:37,1177,Long Video
,,19:37,1177,Long Video
,,31:29,1889,Long Video
,,31:29,1889,Long Video
,,14:00,840,Mini Video
,,14:00,840,Mini Video
,,14:49,889,Mini Video
,,14:49,889,Mini Video
,,16:17,977,Long Video
,,16:17,977,Long Video
,,4:53,293,Mini Video
,,4:53,293,Mini Video
,,17:00,1020,Long Video
,,17:00,1020,Long Video
,,1:21:55,4915,Very Long Video
,,1:21:55,4915,Very Long Video
,,13:01,781,Mini Video
,,13:01,781,Mini Video
,,9:16,556,Mini Video
,,9:16,556,Mini Video
,,13:19,799,Mini Video
,,13:19,799,Mini Video
,,16:35,995,Long Video
,,16:35,995,Long Video
,,6:11,371,Mini Video
,,6:11,371,Mini Video
,,19:06,1146,Long Video
,,19:06,1146,Long Video
,,43:26,2606,Long Video
,,43:26,2606,Long Video
,,8:10,490,Mini Video
,,8:10,490,Mini Video
,,14:44,884,Mini Video
,,14:44,884,Mini Video
,,26:06,1566,Long Video
,,26:06,1566,Long Video
,,11:19,679,Mini Video
,,11:19,679,Mini Video
,,26:53,1613,Long Video
,,26:53,1613,Long Video
,,40:38,2438,Long Video
,,40:38,2438,Long Video
,,14:00,840,Mini Video
,,14:00,840,Mini Video
,,24:06,1446,Long Video
,,24:06,1446,Long Video
,,38:08,2288,Long Video
,,38:08,2288,Long Video
,,11:49,709,Mini Video
,,11:49,709,Mini Video
,,17:38,1058,Long Video
,,17:38,1058,Long Video
,,18:59,1139,Long Video
,,18:59,1139,Long Video
,,2:27:49,8869,Very Long Video
,,2:27:49,8869,Very Long Video
,,3:14,194,Mini Video
,,3:14,194,Mini Video
,,15:44,944,Long Video
,,15:44,944,Long Video
,,33:07,1987,Long Video
,,33:07,1987,Long Video
,,22:44,1364,Long Video
,,22:44,1364,Long Video
,,33:58,2038,Long Video
,,33:58,2038,Long Video
,,5:42,342,Mini Video
,,5:42,342,Mini Video
,,23:19,1399,Long Video
,,23:19,1399,Long Video
,,17:21,1041,Long Video
,,17:21,1041,Long Video
,,24:33,1473,Long Video
,,24:33,1473,Long Video
,,17:33,1053,Long Video
,,17:33,1053,Long Video
,,21:28,1288,Long Video
,,21:28,1288,Long Video
,,4:53,293,Mini Video
,,4:53,293,Mini Video
,,9:53,593,Mini Video
,,9:53,593,Mini Video
,,19:05,1145,Long Video
,,19:05,1145,Long Video
,,27:55,1675,Long Video
,,27:55,1675,Long Video
,,20:39,1239,Long Video
,,20:39,1239,Long Video
,,6:22,382,Mini Video
,,6:22,382,Mini Video
,,17:32,1052,Long Video
,,17:32,1052,Long Video
,,17:46,1066,Long Video
,,17:46,1066,Long Video
,,11:54,714,Mini Video
,,11:54,714,Mini Video
,,17:20,1040,Long Video
,,17:20,1040,Long Video
,,5:35:39,20139,Very Long Video
,,5:35:39,20139,Very Long Video
,,21:08,1268,Long Video
,,21:08,1268,Long Video
,,7:21,441,Mini Video
,,7:21,441,Mini Video
,,11:02,662,Mini Video
,,11:02,662,Mini Video
,,14:23,863,Mini Video
,,14:23,863,Mini Video
,,18:41,1121,Long Video
,,18:41,1121,Long Video
,,20:43,1243,Long Video
,,20:43,1243,Long Video
,,20:31,1231,Long Video
,,20:31,1231,Long Video
,,18:57,1137,Long Video
,,18:57,1137,Long Video
,,15:59,959,Long Video
,,15:59,959,Long Video
,,3:58,238,Mini Video
,,3:58,238,Mini Video
,,34:46,2086,Long Video
,,24:13,1453,Long Video
,,10:11,611,Mini Video
,,23:41,1421,Long Video
,,43:09,2589,Long Video
,,32:24,1944,Long Video
,,27:51,1671,Long Video
,,6:14,374,Mini Video
,,17:27,1047,Long Video
,,23:48,1428,Long Video
,,33:25,2005,Long Video
,,3:54,234,Mini Video
,,14:50,890,Mini Video
,,11:52,712,Mini Video
,,18:15,1095,Long Video
,,18:56,1136,Long Video
,,8:51,531,Mini Video
,,19:46,1186,Long Video
,,15:20,920,Long Video
,,3:23,203,Mini Video
,,14:06,846,Mini Video
,,11:28,688,Mini Video
